Employee_ID,Department,Job_Role,Monthly_Income,Attrition,risk_score,Risk_Category
816,"Research & Development","Laboratory Technician",2319,Yes,6,High
848,"Research & Development","Research Scientist",2366,Yes,6,High
896,Sales,"Sales Representative",2800,Yes,6,High
911,"Research & Development","Laboratory Technician",2795,Yes,6,High
918,"Research & Development","Laboratory Technician",2380,Yes,6,High
927,"Research & Development","Laboratory Technician",2778,Yes,6,High
932,"Research & Development","Laboratory Technician",2404,Yes,6,High
952,Sales,"Sales Representative",2413,Yes,6,High
959,Sales,"Sales Representative",2121,Yes,6,High
960,"Research & Development","Laboratory Technician",2973,Yes,6,High
991,"Research & Development","Research Scientist",2321,Yes,6,High
994,"Research & Development","Research Scientist",2404,Yes,6,High
1004,"Research & Development","Research Scientist",2132,Yes,6,High
1016,"Research & Development","Research Scientist",2600,Yes,6,High
1042,"Research & Development","Laboratory Technician",2743,Yes,6,High
1077,Sales,"Sales Representative",2323,Yes,6,High
1079,"Research & Development","Laboratory Technician",1416,Yes,6,High
1081,"Research & Development","Research Scientist",2461,Yes,6,High
1108,"Research & Development","Research Scientist",2313,Yes,6,High
1111,"Research & Development","Laboratory Technician",2596,Yes,6,High
1175,"Research & Development","Laboratory Technician",2515,Yes,6,High
1200,"Research & Development","Research Scientist",2936,Yes,6,High
1203,"Research & Development","Research Scientist",2853,Yes,6,High
1210,"Research & Development","Research Scientist",2107,Yes,6,High
1248,"Research & Development","Research Scientist",1859,Yes,6,High
1273,Sales,"Sales Representative",1118,Yes,6,High
1292,"Research & Development","Research Scientist",2372,No,6,High
1331,Sales,"Sales Representative",2302,Yes,6,High
1522,"Research & Development","Research Scientist",2362,Yes,6,High
1569,"Research & Development","Laboratory Technician",2074,Yes,6,High
1604,"Research & Development","Laboratory Technician",2408,Yes,6,High
1624,Sales,"Sales Representative",1569,Yes,6,High
1702,Sales,"Sales Representative",2275,Yes,6,High
1767,"Research & Development","Research Scientist",2437,Yes,6,High
1783,"Research & Development","Laboratory Technician",2398,Yes,6,High
1792,"Research & Development","Research Scientist",2342,Yes,6,High
1818,"Human Resources","Human Resources",2148,Yes,6,High
1844,"Human Resources","Human Resources",2335,Yes,6,High
1868,"Research & Development","Research Scientist",2439,Yes,6,High
1878,"Research & Development","Research Scientist",2472,Yes,6,High
1905,"Research & Development","Research Scientist",2307,Yes,6,High
1939,"Research & Development","Research Scientist",2432,Yes,6,High
1944,"Human Resources","Human Resources",2863,Yes,6,High
2032,"Research & Development","Laboratory Technician",2339,Yes,6,High
1,Sales,"Sales Executive",5993,Yes,5,High
10,"Research & Development","Laboratory Technician",2670,No,5,High
21,"Research & Development","Research Scientist",3298,No,5,High
51,"Research & Development","Research Scientist",3419,No,5,High
64,"Research & Development","Laboratory Technician",5381,Yes,5,High
65,"Research & Development","Laboratory Technician",3441,Yes,5,High
68,Sales,"Sales Executive",5454,No,5,High
90,"Research & Development","Research Scientist",3388,Yes,5,High
103,"Human Resources","Human Resources",5021,No,5,High
142,Sales,"Sales Executive",5744,Yes,5,High
147,"Research & Development","Laboratory Technician",6074,Yes,5,High
161,"Research & Development","Research Scientist",4963,Yes,5,High
175,Sales,"Sales Executive",4559,Yes,5,High
190,"Research & Development","Laboratory Technician",4200,Yes,5,High
214,"Research & Development","Research Scientist",3346,No,5,High
248,Sales,"Sales Representative",3140,Yes,5,High
261,"Research & Development","Manufacturing Director",5916,Yes,5,High
282,"Research & Development","Healthcare Representative",6673,Yes,5,High
331,"Research & Development","Laboratory Technician",3730,Yes,5,High
351,"Research & Development","Laboratory Technician",2593,No,5,High
376,"Research & Development",Manager,11849,Yes,5,High
390,"Research & Development","Healthcare Representative",4741,No,5,High
392,"Research & Development","Laboratory Technician",3161,Yes,5,High
433,"Research & Development","Research Scientist",4941,Yes,5,High
440,"Research & Development","Research Scientist",3464,Yes,5,High
445,Sales,"Sales Executive",5238,Yes,5,High
488,Sales,"Sales Executive",9355,Yes,5,High
492,Sales,"Sales Executive",6380,Yes,5,High
502,Sales,"Sales Executive",5304,Yes,5,High
554,Sales,"Sales Representative",3202,Yes,5,High
582,"Research & Development",Manager,13610,Yes,5,High
590,"Human Resources","Human Resources",9950,Yes,5,High
650,Sales,"Sales Executive",4233,Yes,5,High
699,"Research & Development","Manufacturing Director",8847,No,5,High
723,Sales,"Sales Executive",6796,Yes,5,High
785,Sales,"Sales Executive",6397,Yes,5,High
787,"Research & Development",Manager,19859,Yes,5,High
803,"Research & Development","Manufacturing Director",5980,No,5,High
825,"Research & Development","Research Director",19246,Yes,5,High
842,Sales,"Sales Executive",5160,Yes,5,High
904,Sales,"Sales Executive",7642,No,5,High
926,"Research & Development","Manufacturing Director",4171,Yes,5,High
967,Sales,"Sales Executive",10325,Yes,5,High
986,Sales,"Sales Executive",13194,Yes,5,High
1010,"Research & Development","Laboratory Technician",3743,Yes,5,High
1015,"Research & Development","Research Director",11416,No,5,High
1033,"Research & Development","Healthcare Representative",4777,Yes,5,High
1082,"Research & Development","Healthcare Representative",8722,Yes,5,High
1100,Sales,"Sales Executive",9582,Yes,5,High
1113,Sales,"Sales Executive",4728,Yes,5,High
1165,Sales,"Sales Executive",7336,Yes,5,High
1167,Sales,"Sales Executive",13758,Yes,5,High
1242,"Research & Development","Research Director",13191,No,5,High
1318,Sales,"Sales Executive",9094,Yes,5,High
1319,Sales,"Sales Executive",8446,Yes,5,High
1321,"Research & Development",Manager,11916,No,5,High
1360,"Research & Development","Manufacturing Director",10008,Yes,5,High
1372,Sales,"Sales Executive",13695,Yes,5,High
1380,Sales,"Sales Executive",4614,Yes,5,High
1420,"Research & Development","Laboratory Technician",4284,Yes,5,High
1421,"Research & Development","Healthcare Representative",7553,Yes,5,High
1425,Sales,"Sales Executive",9278,No,5,High
1439,Sales,"Sales Representative",4400,Yes,5,High
1458,"Research & Development","Laboratory Technician",3646,Yes,5,High
1460,"Research & Development","Healthcare Representative",10851,No,5,High
1464,"Research & Development","Laboratory Technician",3722,Yes,5,High
1487,Sales,"Sales Executive",5765,Yes,5,High
1494,"Research & Development","Laboratory Technician",3172,Yes,5,High
1537,"Research & Development","Research Scientist",4084,Yes,5,High
1541,Sales,"Sales Representative",2308,No,5,High
1562,Sales,"Sales Executive",9714,Yes,5,High
1586,"Research & Development","Laboratory Technician",4723,No,5,High
1594,"Research & Development","Laboratory Technician",5562,No,5,High
1645,Sales,"Sales Executive",5440,Yes,5,High
1684,"Research & Development","Laboratory Technician",3989,Yes,5,High
1724,"Research & Development","Manufacturing Director",6516,No,5,High
1733,Sales,"Sales Executive",6134,Yes,5,High
1862,Sales,"Sales Executive",9907,Yes,5,High
1933,Sales,"Sales Executive",9854,Yes,5,High
1967,Sales,"Sales Executive",5617,Yes,5,High
2027,"Research & Development","Research Scientist",4787,Yes,5,High
2055,Sales,"Sales Executive",10854,Yes,5,High
2064,"Research & Development","Manufacturing Director",6142,No,5,High
31,"Research & Development","Research Scientist",2960,Yes,4,High
42,Sales,"Sales Representative",2086,Yes,4,High
55,"Research & Development","Laboratory Technician",2293,Yes,4,High
78,"Research & Development","Manufacturing Director",6162,No,4,High
235,Sales,"Sales Representative",2325,Yes,4,High
243,"Research & Development","Laboratory Technician",1102,Yes,4,High
300,"Research & Development","Research Scientist",2058,Yes,4,High
405,"Research & Development","Laboratory Technician",1420,Yes,4,High
436,Sales,"Sales Executive",5228,No,4,High
474,"Research & Development","Research Scientist",5974,No,4,High
494,Sales,"Sales Representative",2716,Yes,4,High
529,"Research & Development","Research Scientist",4449,No,4,High
555,Sales,"Sales Representative",2351,Yes,4,High
565,"Research & Development","Research Scientist",2546,Yes,4,High
566,"Human Resources","Human Resources",2564,Yes,4,High
630,"Research & Development","Research Scientist",5577,No,4,High
648,Sales,"Sales Representative",2033,Yes,4,High
903,Sales,"Sales Executive",4537,No,4,High
922,Sales,"Sales Representative",2044,Yes,4,High
923,"Research & Development","Research Scientist",2693,Yes,4,High
961,"Research & Development","Healthcare Representative",5855,No,4,High
977,"Research & Development","Research Scientist",2479,Yes,4,High
1017,"Research & Development","Laboratory Technician",2422,Yes,4,High
1034,"Research & Development","Healthcare Representative",6385,No,4,High
1107,"Research & Development","Laboratory Technician",2377,Yes,4,High
1156,"Research & Development","Laboratory Technician",1904,Yes,4,High
1160,"Research & Development","Laboratory Technician",2610,Yes,4,High
1219,"Research & Development","Laboratory Technician",2210,Yes,4,High
1241,"Research & Development","Research Scientist",3579,No,4,High
1279,"Research & Development","Laboratory Technician",2625,Yes,4,High
1294,"Research & Development","Manufacturing Director",5410,No,4,High
1333,"Research & Development","Laboratory Technician",2362,Yes,4,High
1379,Sales,"Sales Representative",2785,Yes,4,High
1402,"Research & Development","Research Scientist",4081,No,4,High
1427,Sales,"Sales Representative",1359,Yes,4,High
1433,"Research & Development","Research Scientist",1261,Yes,4,High
1467,"Human Resources","Human Resources",2742,Yes,4,High
1486,Sales,"Sales Representative",2909,Yes,4,High
1504,"Research & Development","Laboratory Technician",2561,Yes,4,High
1534,"Research & Development","Laboratory Technician",2018,Yes,4,High
1549,"Research & Development","Laboratory Technician",5207,No,4,High
1640,"Research & Development","Research Scientist",3936,No,4,High
1692,"Research & Development","Laboratory Technician",1393,Yes,4,High
1706,Sales,"Sales Executive",7847,No,4,High
1714,"Human Resources","Human Resources",1555,Yes,4,High
1737,"Research & Development","Laboratory Technician",6472,No,4,High
1747,"Human Resources","Human Resources",2180,Yes,4,High
1752,Sales,"Sales Representative",2760,Yes,4,High
1780,Sales,"Sales Representative",2679,Yes,4,High
1842,"Human Resources","Human Resources",2956,Yes,4,High
1876,Sales,"Sales Representative",1081,Yes,4,High
1907,"Research & Development","Laboratory Technician",2587,Yes,4,High
1928,Sales,"Sales Representative",1091,Yes,4,High
1932,"Research & Development","Research Scientist",5747,No,4,High
1960,"Research & Development","Laboratory Technician",2367,Yes,4,High
2009,"Research & Development","Healthcare Representative",4878,No,4,High
2023,Sales,"Sales Representative",1790,Yes,4,High
5,"Research & Development","Research Scientist",2909,No,3,Medium
22,"Research & Development","Laboratory Technician",2935,No,3,Medium
27,Sales,"Sales Representative",3407,Yes,3,Medium
58,"Research & Development","Research Director",19545,Yes,3,Medium
79,"Research & Development","Laboratory Technician",2406,No,3,Medium
118,Sales,"Sales Executive",9619,Yes,3,Medium
165,"Research & Development","Healthcare Representative",10312,Yes,3,Medium
177,"Human Resources","Human Resources",2942,No,3,Medium
179,"Research & Development","Manufacturing Director",10650,Yes,3,Medium
205,Sales,"Sales Representative",2306,No,3,Medium
224,"Research & Development","Research Scientist",2566,No,3,Medium
238,"Research & Development","Laboratory Technician",2088,No,3,Medium
281,"Research & Development","Laboratory Technician",2741,No,3,Medium
283,Sales,"Sales Executive",7639,Yes,3,Medium
284,"Research & Development","Research Scientist",2328,No,3,Medium
291,Sales,"Sales Executive",10400,Yes,3,Medium
299,Sales,"Sales Executive",6696,Yes,3,Medium
311,Sales,"Sales Representative",2793,No,3,Medium
342,"Research & Development","Manufacturing Director",10048,Yes,3,Medium
355,"Research & Development","Laboratory Technician",3479,Yes,3,Medium
364,"Research & Development","Laboratory Technician",3485,Yes,3,Medium
391,"Research & Development","Research Scientist",2115,No,3,Medium
403,"Research & Development","Research Scientist",2326,No,3,Medium
426,"Research & Development","Research Scientist",2695,No,3,Medium
434,"Research & Development","Research Scientist",2478,No,3,Medium
470,"Human Resources","Human Resources",2696,No,3,Medium
483,"Research & Development","Laboratory Technician",2213,No,3,Medium
493,"Research & Development","Research Scientist",2657,No,3,Medium
510,"Research & Development","Research Scientist",3102,Yes,3,Medium
538,"Research & Development","Laboratory Technician",4031,Yes,3,Medium
556,"Research & Development","Laboratory Technician",1702,No,3,Medium
571,"Research & Development","Laboratory Technician",2564,No,3,Medium
579,"Research & Development","Research Scientist",2768,No,3,Medium
584,"Research & Development","Laboratory Technician",3408,Yes,3,Medium
587,"Research & Development","Healthcare Representative",9824,Yes,3,Medium
593,"Research & Development","Laboratory Technician",3894,Yes,3,Medium
631,Sales,"Sales Executive",4707,Yes,3,Medium
639,"Research & Development","Research Scientist",2725,No,3,Medium
666,Sales,"Sales Representative",2579,No,3,Medium
667,Sales,"Sales Representative",3041,Yes,3,Medium
683,"Research & Development","Research Scientist",2691,No,3,Medium
684,Sales,"Sales Executive",4286,Yes,3,Medium
686,"Research & Development","Laboratory Technician",2659,No,3,Medium
705,"Research & Development","Research Scientist",2819,No,3,Medium
720,Sales,"Sales Executive",4577,Yes,3,Medium
763,"Research & Development","Research Scientist",2342,No,3,Medium
796,Sales,"Sales Executive",5326,Yes,3,Medium
802,"Research & Development","Research Scientist",2782,No,3,Medium
819,Sales,"Sales Executive",5324,Yes,3,Medium
828,"Research & Development","Research Scientist",4382,Yes,3,Medium
840,Sales,"Sales Executive",7654,Yes,3,Medium
874,"Research & Development","Laboratory Technician",2818,No,3,Medium
875,"Research & Development","Research Scientist",2515,No,3,Medium
895,"Research & Development","Research Scientist",2356,No,3,Medium
910,"Human Resources","Human Resources",2277,No,3,Medium
939,"Research & Development","Research Scientist",2799,No,3,Medium
941,Sales,"Sales Representative",2329,No,3,Medium
970,Sales,"Sales Executive",10609,Yes,3,Medium
1019,"Research & Development","Laboratory Technician",2451,No,3,Medium
1037,Sales,"Sales Executive",4969,Yes,3,Medium
1038,Sales,Manager,19845,Yes,3,Medium
1052,"Research & Development","Laboratory Technician",4834,Yes,3,Medium
1055,Sales,"Sales Representative",2220,No,3,Medium
1098,"Human Resources","Human Resources",10482,Yes,3,Medium
1101,"Research & Development","Research Scientist",4508,Yes,3,Medium
1127,"Research & Development","Healthcare Representative",12169,Yes,3,Medium
1131,"Research & Development","Research Scientist",2070,No,3,Medium
1152,"Human Resources","Human Resources",2844,No,3,Medium
1154,"Research & Development","Research Scientist",2703,No,3,Medium
1188,Sales,"Sales Executive",5346,Yes,3,Medium
1202,"Research & Development","Research Scientist",2168,No,3,Medium
1246,"Research & Development","Research Scientist",2011,No,3,Medium
1269,"Research & Development","Research Scientist",2994,No,3,Medium
1275,"Research & Development","Research Scientist",2875,No,3,Medium
1286,"Research & Development","Laboratory Technician",2154,No,3,Medium
1295,"Research & Development","Healthcare Representative",7978,Yes,3,Medium
1297,"Research & Development","Laboratory Technician",2838,No,3,Medium
1309,"Research & Development","Laboratory Technician",4883,Yes,3,Medium
1310,"Research & Development","Research Scientist",3904,Yes,3,Medium
1394,"Research & Development","Research Scientist",2996,No,3,Medium
1448,"Research & Development","Research Scientist",2127,No,3,Medium
1457,Sales,"Sales Executive",10096,Yes,3,Medium
1459,"Research & Development","Manufacturing Director",7446,Yes,3,Medium
1556,Sales,"Sales Representative",2644,No,3,Medium
1572,"Research & Development","Manufacturing Director",10169,Yes,3,Medium
1573,"Research & Development","Manufacturing Director",4855,Yes,3,Medium
1576,"Research & Development","Research Scientist",2367,No,3,Medium
1605,"Research & Development","Research Scientist",2814,No,3,Medium
1639,Sales,"Sales Executive",10306,Yes,3,Medium
1674,"Research & Development","Laboratory Technician",2587,No,3,Medium
1693,"Research & Development","Laboratory Technician",2570,No,3,Medium
1701,"Research & Development","Research Scientist",2929,No,3,Medium
1716,Sales,"Sales Executive",12936,Yes,3,Medium
1734,Sales,"Sales Executive",6735,Yes,3,Medium
1755,"Research & Development","Research Scientist",2932,No,3,Medium
1761,Sales,"Sales Executive",8161,Yes,3,Medium
1807,"Research & Development","Laboratory Technician",5346,Yes,3,Medium
1809,"Research & Development","Manufacturing Director",4213,Yes,3,Medium
1821,"Research & Development","Healthcare Representative",8926,Yes,3,Medium
1850,"Research & Development","Laboratory Technician",2379,No,3,Medium
1869,Sales,"Sales Executive",7314,Yes,3,Medium
1893,"Research & Development","Research Scientist",2933,No,3,Medium
1918,"Research & Development","Laboratory Technician",2544,No,3,Medium
1937,"Research & Development","Research Scientist",2133,No,3,Medium
1952,"Research & Development","Laboratory Technician",2867,No,3,Medium
1961,Sales,"Sales Representative",2858,No,3,Medium
1972,"Human Resources","Human Resources",2991,No,3,Medium
1974,"Research & Development","Laboratory Technician",1129,No,3,Medium
2003,"Research & Development","Laboratory Technician",2660,No,3,Medium
2020,"Research & Development","Research Scientist",2436,No,3,Medium
2021,Sales,"Sales Representative",2380,No,3,Medium
2044,Sales,"Sales Executive",6728,Yes,3,Medium
13,"Research & Development","Healthcare Representative",5237,No,2,Medium
15,"Research & Development","Laboratory Technician",4193,No,2,Medium
24,"Research & Development","Research Scientist",3944,No,2,Medium
40,"Research & Development","Healthcare Representative",6465,No,2,Medium
60,Sales,"Sales Executive",4568,No,2,Medium
62,Sales,"Sales Executive",5772,No,2,Medium
70,"Research & Development","Healthcare Representative",9884,No,2,Medium
72,Sales,"Sales Executive",4157,No,2,Medium
73,"Research & Development","Research Director",13458,No,2,Medium
75,"Research & Development","Laboratory Technician",4014,No,2,Medium
80,"Research & Development","Research Director",18740,No,2,Medium
84,"Research & Development",Manager,14756,No,2,Medium
101,"Research & Development","Research Director",13245,No,2,Medium
104,"Research & Development","Laboratory Technician",5126,No,2,Medium
107,"Research & Development","Research Scientist",5329,No,2,Medium
117,"Research & Development","Healthcare Representative",4152,No,2,Medium
120,Sales,"Sales Executive",5441,No,2,Medium
121,Sales,"Sales Executive",5209,No,2,Medium
124,"Research & Development","Healthcare Representative",10673,No,2,Medium
125,Sales,"Sales Executive",5010,No,2,Medium
126,"Research & Development","Research Director",13549,No,2,Medium
128,Sales,"Sales Executive",4999,No,2,Medium
145,"Research & Development","Healthcare Representative",7484,No,2,Medium
148,"Human Resources",Manager,17328,No,2,Medium
158,Sales,Manager,16959,No,2,Medium
170,"Research & Development","Manufacturing Director",6567,No,2,Medium
176,Sales,"Sales Executive",8189,No,2,Medium
182,Sales,"Sales Executive",5902,No,2,Medium
184,"Human Resources","Human Resources",6347,No,2,Medium
193,"Research & Development","Research Scientist",4317,No,2,Medium
223,"Research & Development","Healthcare Representative",9439,No,2,Medium
233,"Research & Development","Research Scientist",3058,No,2,Medium
239,"Research & Development","Laboratory Technician",3072,No,2,Medium
240,Sales,"Sales Executive",5006,No,2,Medium
241,"Research & Development","Research Scientist",4257,No,2,Medium
246,"Research & Development","Research Scientist",3929,No,2,Medium
275,"Research & Development","Manufacturing Director",6804,No,2,Medium
277,"Research & Development","Research Scientist",3815,No,2,Medium
298,Sales,Manager,13591,No,2,Medium
306,"Research & Development","Research Director",12185,No,2,Medium
327,Sales,Manager,16064,No,2,Medium
329,Sales,Manager,19068,No,2,Medium
334,"Research & Development","Research Scientist",3072,No,2,Medium
339,"Research & Development","Manufacturing Director",5957,No,2,Medium
340,"Research & Development","Research Scientist",3920,No,2,Medium
347,"Research & Development","Research Scientist",6545,No,2,Medium
361,Sales,"Sales Executive",5249,No,2,Medium
363,Sales,Manager,16872,No,2,Medium
367,"Research & Development","Healthcare Representative",5582,No,2,Medium
372,"Research & Development","Healthcare Representative",13496,No,2,Medium
373,"Research & Development","Laboratory Technician",3210,No,2,Medium
374,"Research & Development",Manager,19045,No,2,Medium
380,"Research & Development","Research Director",13603,No,2,Medium
384,"Research & Development","Manufacturing Director",6397,No,2,Medium
385,"Research & Development","Research Director",19144,No,2,Medium
386,"Research & Development","Research Director",17584,No,2,Medium
387,Sales,"Sales Executive",4907,No,2,Medium
389,"Research & Development","Laboratory Technician",5415,No,2,Medium
396,"Research & Development","Research Director",18665,No,2,Medium
397,"Research & Development","Research Scientist",4485,No,2,Medium
416,Sales,"Sales Executive",6929,No,2,Medium
422,"Research & Development","Healthcare Representative",5660,No,2,Medium
423,"Research & Development","Research Scientist",4821,No,2,Medium
425,"Research & Development","Laboratory Technician",5210,No,2,Medium
429,"Research & Development",Manager,17068,No,2,Medium
431,"Research & Development","Healthcare Representative",13964,No,2,Medium
437,Sales,"Sales Executive",4478,No,2,Medium
449,Sales,"Sales Executive",6349,No,2,Medium
451,"Research & Development","Healthcare Representative",9985,No,2,Medium
452,"Research & Development","Research Scientist",3697,No,2,Medium
453,Sales,"Sales Executive",7457,No,2,Medium
461,"Research & Development","Research Director",11510,No,2,Medium
462,"Research & Development","Manufacturing Director",7143,No,2,Medium
463,Sales,"Sales Executive",8268,No,2,Medium
466,"Research & Development","Manufacturing Director",6032,No,2,Medium
473,Sales,Manager,12504,No,2,Medium
475,Sales,"Sales Executive",4736,No,2,Medium
476,Sales,"Sales Executive",5296,No,2,Medium
505,"Research & Development",Manager,16659,No,2,Medium
507,Sales,"Sales Executive",4260,No,2,Medium
515,"Research & Development","Laboratory Technician",3034,No,2,Medium
518,"Research & Development","Manufacturing Director",4197,No,2,Medium
522,"Research & Development","Research Director",19406,No,2,Medium
524,"Research & Development","Manufacturing Director",4306,No,2,Medium
526,"Research & Development","Healthcare Representative",4522,No,2,Medium
527,Sales,"Sales Executive",4487,No,2,Medium
531,"Research & Development",Manager,19197,No,2,Medium
543,"Research & Development","Manufacturing Director",7969,No,2,Medium
549,"Research & Development",Manager,19566,No,2,Medium
580,Sales,"Sales Executive",9071,No,2,Medium
586,"Research & Development","Healthcare Representative",7632,No,2,Medium
595,Sales,"Sales Executive",4051,No,2,Medium
600,Sales,"Sales Executive",4717,No,2,Medium
604,Sales,"Sales Executive",6582,No,2,Medium
605,"Research & Development","Manufacturing Director",7406,No,2,Medium
616,"Research & Development","Healthcare Representative",6811,No,2,Medium
621,Sales,"Sales Executive",5337,No,2,Medium
638,"Research & Development","Research Director",19502,No,2,Medium
649,"Research & Development","Research Scientist",3622,No,2,Medium
653,Sales,"Sales Executive",5460,No,2,Medium
656,Sales,"Sales Executive",9602,No,2,Medium
661,"Research & Development","Research Director",16627,No,2,Medium
663,"Research & Development","Laboratory Technician",5679,No,2,Medium
664,"Research & Development",Manager,15402,No,2,Medium
671,"Research & Development",Manager,19513,No,2,Medium
679,"Research & Development","Research Scientist",6322,No,2,Medium
682,Sales,"Sales Executive",8381,No,2,Medium
691,"Research & Development","Research Scientist",6646,No,2,Medium
714,Sales,"Sales Executive",4647,No,2,Medium
716,"Research & Development","Laboratory Technician",3221,No,2,Medium
721,"Research & Development","Healthcare Representative",4553,No,2,Medium
729,Sales,"Sales Executive",10475,No,2,Medium
742,"Research & Development","Research Director",11713,No,2,Medium
743,"Research & Development","Manufacturing Director",7861,No,2,Medium
746,Sales,"Sales Executive",13770,No,2,Medium
747,Sales,"Sales Executive",5304,No,2,Medium
764,"Research & Development","Healthcare Representative",6811,No,2,Medium
773,"Research & Development","Research Scientist",3057,No,2,Medium
789,Sales,"Sales Executive",7587,No,2,Medium
799,"Research & Development","Manufacturing Director",5485,No,2,Medium
820,"Research & Development",Manager,16752,No,2,Medium
827,"Research & Development","Manufacturing Director",6062,No,2,Medium
830,"Research & Development","Manufacturing Director",6162,No,2,Medium
833,"Research & Development","Manufacturing Director",6877,No,2,Medium
836,"Research & Development","Manufacturing Director",4434,No,2,Medium
837,"Research & Development","Healthcare Representative",6288,No,2,Medium
844,"Research & Development","Research Director",12808,No,2,Medium
854,"Research & Development","Research Scientist",3424,No,2,Medium
855,Sales,"Sales Executive",4037,No,2,Medium
857,Sales,"Sales Executive",6201,No,2,Medium
862,Sales,"Sales Executive",10934,No,2,Medium
864,Sales,"Sales Executive",10761,No,2,Medium
879,Sales,"Sales Executive",4194,No,2,Medium
880,"Research & Development","Manufacturing Director",10685,No,2,Medium
889,Sales,"Sales Executive",6524,No,2,Medium
894,"Research & Development","Laboratory Technician",5231,No,2,Medium
924,"Research & Development","Healthcare Representative",6586,No,2,Medium
925,Sales,"Sales Representative",3294,No,2,Medium
940,"Research & Development","Healthcare Representative",10552,No,2,Medium
942,"Research & Development","Healthcare Representative",4014,No,2,Medium
954,Sales,"Sales Executive",9705,No,2,Medium
957,"Research & Development","Laboratory Technician",4721,No,2,Medium
964,"Research & Development","Research Scientist",3617,No,2,Medium
966,"Research & Development","Manufacturing Director",6725,No,2,Medium
983,Sales,"Sales Executive",5666,No,2,Medium
987,"Research & Development","Manufacturing Director",5067,No,2,Medium
998,"Research & Development","Healthcare Representative",5488,No,2,Medium
1002,"Research & Development","Laboratory Technician",3633,No,2,Medium
1003,Sales,"Sales Executive",4163,No,2,Medium
1005,"Research & Development","Manufacturing Director",13973,No,2,Medium
1014,"Research & Development","Healthcare Representative",10388,No,2,Medium
1032,"Research & Development","Manufacturing Director",13726,No,2,Medium
1036,Sales,"Sales Executive",6861,No,2,Medium
1039,Sales,"Sales Executive",13320,No,2,Medium
1043,"Research & Development","Manufacturing Director",10880,No,2,Medium
1046,"Research & Development","Laboratory Technician",4025,No,2,Medium
1048,Sales,Manager,11904,No,2,Medium
1061,"Research & Development","Research Director",19237,No,2,Medium
1066,Sales,"Sales Executive",8396,No,2,Medium
1080,"Research & Development","Research Scientist",4615,No,2,Medium
1083,"Research & Development","Laboratory Technician",3955,No,2,Medium
1105,Sales,"Sales Executive",6694,No,2,Medium
1119,Sales,"Sales Executive",8740,No,2,Medium
