Employee_ID,Job_Role,Monthly_Income,Salary_Rank,income_vs_role_avg,Attrition
133,"Human Resources",2073,50,0.49,Yes
1499,"Human Resources",2064,51,0.49,No
1714,"Human Resources",1555,52,0.37,Yes
944,"Laboratory Technician",7403,1,2.29,No
1132,"Laboratory Technician",6782,2,2.10,No
1315,"Laboratory Technician",6674,3,2.06,No
1737,"Laboratory Technician",6472,4,2.00,No
1985,"Laboratory Technician",6323,5,1.95,No
147,"Laboratory Technician",6074,6,1.88,Yes
76,"Laboratory Technician",5915,7,1.83,No
304,"Laboratory Technician",5914,8,1.83,No
1435,"Laboratory Technician",5810,9,1.79,No
1611,"Laboratory Technician",5769,10,1.78,No
663,"Laboratory Technician",5679,11,1.75,No
419,"Laboratory Technician",5674,12,1.75,No
1594,"Laboratory Technician",5562,13,1.72,No
1377,"Laboratory Technician",5429,14,1.68,No
389,"Laboratory Technician",5415,15,1.67,No
64,"Laboratory Technician",5381,16,1.66,Yes
1369,"Laboratory Technician",5363,17,1.66,No
1807,"Laboratory Technician",5346,18,1.65,Yes
772,"Laboratory Technician",5309,19,1.64,No
448,"Laboratory Technician",5257,20,1.62,No
894,"Laboratory Technician",5231,21,1.62,No
425,"Laboratory Technician",5210,22,1.61,No
1549,"Laboratory Technician",5207,23,1.61,No
104,"Laboratory Technician",5126,24,1.58,No
832,"Laboratory Technician",5094,25,1.57,No
1309,"Laboratory Technician",4883,26,1.51,Yes
1599,"Laboratory Technician",4876,27,1.51,No
1542,"Laboratory Technician",4841,28,1.50,No
1052,"Laboratory Technician",4834,29,1.49,Yes
1509,"Laboratory Technician",4789,30,1.48,No
1158,"Laboratory Technician",4766,31,1.47,No
1586,"Laboratory Technician",4723,32,1.46,No
957,"Laboratory Technician",4721,33,1.46,No
1311,"Laboratory Technician",4627,34,1.43,No
1094,"Laboratory Technician",4621,35,1.43,No
536,"Laboratory Technician",4558,36,1.41,No
972,"Laboratory Technician",4447,37,1.37,No
1285,"Laboratory Technician",4444,38,1.37,No
269,"Laboratory Technician",4425,39,1.37,No
1177,"Laboratory Technician",4420,40,1.37,No
2068,"Laboratory Technician",4404,41,1.36,No
792,"Laboratory Technician",4364,42,1.35,No
1420,"Laboratory Technician",4284,43,1.32,Yes
1148,"Laboratory Technician",4272,44,1.32,No
577,"Laboratory Technician",4230,45,1.31,No
190,"Laboratory Technician",4200,46,1.30,Yes
1881,"Laboratory Technician",4197,47,1.30,No
15,"Laboratory Technician",4193,48,1.30,No
1619,"Laboratory Technician",4066,49,1.26,No
538,"Laboratory Technician",4031,50,1.25,Yes
2053,"Laboratory Technician",4025,51,1.24,No
1046,"Laboratory Technician",4025,51,1.24,No
75,"Laboratory Technician",4014,53,1.24,No
57,"Laboratory Technician",4011,54,1.24,No
1684,"Laboratory Technician",3989,55,1.23,Yes
1696,"Laboratory Technician",3986,56,1.23,No
455,"Laboratory Technician",3983,57,1.23,No
1916,"Laboratory Technician",3978,58,1.23,No
1992,"Laboratory Technician",3977,59,1.23,No
1449,"Laboratory Technician",3975,60,1.23,No
1860,"Laboratory Technician",3968,61,1.23,No
1083,"Laboratory Technician",3955,62,1.22,No
1028,"Laboratory Technician",3917,63,1.21,No
1725,"Laboratory Technician",3907,64,1.21,No
593,"Laboratory Technician",3894,65,1.20,Yes
1296,"Laboratory Technician",3867,66,1.19,No
1502,"Laboratory Technician",3838,67,1.19,No
806,"Laboratory Technician",3833,68,1.18,No
497,"Laboratory Technician",3816,69,1.18,No
1852,"Laboratory Technician",3812,70,1.18,No
578,"Laboratory Technician",3780,71,1.17,No
602,"Laboratory Technician",3755,72,1.16,No
1989,"Laboratory Technician",3748,73,1.16,No
1010,"Laboratory Technician",3743,74,1.16,Yes
331,"Laboratory Technician",3730,75,1.15,Yes
1464,"Laboratory Technician",3722,76,1.15,Yes
744,"Laboratory Technician",3708,77,1.15,No
1782,"Laboratory Technician",3702,78,1.14,No
1106,"Laboratory Technician",3691,79,1.14,Yes
249,"Laboratory Technician",3690,80,1.14,No
407,"Laboratory Technician",3688,81,1.14,No
652,"Laboratory Technician",3681,82,1.14,No
1480,"Laboratory Technician",3673,83,1.13,No
1358,"Laboratory Technician",3669,84,1.13,No
1458,"Laboratory Technician",3646,85,1.13,Yes
1002,"Laboratory Technician",3633,86,1.12,No
1411,"Laboratory Technician",3629,87,1.12,No
1173,"Laboratory Technician",3597,88,1.11,No
1417,"Laboratory Technician",3578,89,1.11,No
1440,"Laboratory Technician",3500,90,1.08,No
1224,"Laboratory Technician",3491,91,1.08,No
364,"Laboratory Technician",3485,92,1.08,Yes
355,"Laboratory Technician",3479,93,1.07,Yes
1721,"Laboratory Technician",3477,94,1.07,No
7,"Laboratory Technician",3468,95,1.07,No
486,"Laboratory Technician",3452,96,1.07,No
521,"Laboratory Technician",3448,97,1.07,No
65,"Laboratory Technician",3441,98,1.06,Yes
584,"Laboratory Technician",3408,99,1.05,Yes
1596,"Laboratory Technician",3407,100,1.05,No
1802,"Laboratory Technician",3377,101,1.04,No
1299,"Laboratory Technician",3339,102,1.03,Yes
1687,"Laboratory Technician",3306,103,1.02,No
1735,"Laboratory Technician",3295,104,1.02,No
1447,"Laboratory Technician",3294,105,1.02,No
1415,"Laboratory Technician",3229,106,1.00,No
716,"Laboratory Technician",3221,107,1.00,No
316,"Laboratory Technician",3212,108,0.99,No
1617,"Laboratory Technician",3211,109,0.99,No
373,"Laboratory Technician",3210,110,0.99,No
1216,"Laboratory Technician",3196,111,0.99,No
1513,"Laboratory Technician",3180,112,0.98,No
1494,"Laboratory Technician",3172,113,0.98,Yes
1471,"Laboratory Technician",3162,114,0.98,No
888,"Laboratory Technician",3162,114,0.98,No
392,"Laboratory Technician",3161,116,0.98,Yes
813,"Laboratory Technician",3149,117,0.97,No
1192,"Laboratory Technician",3131,118,0.97,No
239,"Laboratory Technician",3072,119,0.95,No
1627,"Laboratory Technician",3069,120,0.95,No
8,"Laboratory Technician",3068,121,0.95,No
97,"Laboratory Technician",3038,122,0.94,No
515,"Laboratory Technician",3034,123,0.94,No
1198,"Laboratory Technician",3033,124,0.94,No
1709,"Laboratory Technician",2974,125,0.92,No
960,"Laboratory Technician",2973,126,0.92,Yes
1409,"Laboratory Technician",2950,127,0.91,No
22,"Laboratory Technician",2935,128,0.91,No
137,"Laboratory Technician",2926,129,0.90,Yes
647,"Laboratory Technician",2886,130,0.89,Yes
144,"Laboratory Technician",2871,131,0.89,No
1952,"Laboratory Technician",2867,132,0.89,No
1297,"Laboratory Technician",2838,133,0.88,No
2010,"Laboratory Technician",2837,134,0.88,No
155,"Laboratory Technician",2835,135,0.88,No
874,"Laboratory Technician",2818,136,0.87,No
1001,"Laboratory Technician",2811,137,0.87,No
1949,"Laboratory Technician",2810,138,0.87,No
911,"Laboratory Technician",2795,139,0.86,Yes
359,"Laboratory Technician",2794,140,0.86,No
927,"Laboratory Technician",2778,141,0.86,Yes
150,"Laboratory Technician",2774,142,0.86,No
1768,"Laboratory Technician",2766,143,0.85,No
1042,"Laboratory Technician",2743,144,0.85,Yes
1234,"Laboratory Technician",2743,144,0.85,No
1221,"Laboratory Technician",2741,146,0.85,No
281,"Laboratory Technician",2741,146,0.85,No
198,"Laboratory Technician",2720,148,0.84,No
328,"Laboratory Technician",2707,149,0.84,Yes
1826,"Laboratory Technician",2705,150,0.84,No
812,"Laboratory Technician",2694,151,0.83,No
11,"Laboratory Technician",2693,152,0.83,No
1601,"Laboratory Technician",2690,153,0.83,No
10,"Laboratory Technician",2670,154,0.82,No
18,"Laboratory Technician",2661,155,0.82,No
2003,"Laboratory Technician",2660,156,0.82,No
686,"Laboratory Technician",2659,157,0.82,No
1982,"Laboratory Technician",2647,158,0.82,No
1279,"Laboratory Technician",2625,159,0.81,Yes
1160,"Laboratory Technician",2610,160,0.81,Yes
1111,"Laboratory Technician",2596,161,0.80,Yes
351,"Laboratory Technician",2593,162,0.80,No
1674,"Laboratory Technician",2587,163,0.80,No
1907,"Laboratory Technician",2587,163,0.80,Yes
517,"Laboratory Technician",2576,165,0.80,No
2061,"Laboratory Technician",2571,166,0.79,No
1693,"Laboratory Technician",2570,167,0.79,No
571,"Laboratory Technician",2564,168,0.79,No
1504,"Laboratory Technician",2561,169,0.79,Yes
1258,"Laboratory Technician",2559,170,0.79,No
1918,"Laboratory Technician",2544,171,0.79,No
912,"Laboratory Technician",2532,172,0.78,No
169,"Laboratory Technician",2523,173,0.78,No
958,"Laboratory Technician",2519,174,0.78,No
1175,"Laboratory Technician",2515,175,0.78,Yes
758,"Laboratory Technician",2500,176,0.77,No
39,"Laboratory Technician",2496,177,0.77,No
1760,"Laboratory Technician",2468,178,0.76,No
430,"Laboratory Technician",2455,179,0.76,No
1019,"Laboratory Technician",2451,180,0.76,No
769,"Laboratory Technician",2450,181,0.76,No
1564,"Laboratory Technician",2450,181,0.76,No
1675,"Laboratory Technician",2440,183,0.75,No
325,"Laboratory Technician",2436,184,0.75,Yes
14,"Laboratory Technician",2426,185,0.75,No
1017,"Laboratory Technician",2422,186,0.75,Yes
1604,"Laboratory Technician",2408,187,0.74,Yes
79,"Laboratory Technician",2406,188,0.74,No
2012,"Laboratory Technician",2406,188,0.74,No
932,"Laboratory Technician",2404,190,0.74,Yes
1783,"Laboratory Technician",2398,191,0.74,Yes
1361,"Laboratory Technician",2387,192,0.74,No
918,"Laboratory Technician",2380,193,0.74,Yes
1030,"Laboratory Technician",2380,193,0.74,No
1850,"Laboratory Technician",2379,195,0.73,No
1107,"Laboratory Technician",2377,196,0.73,Yes
1185,"Laboratory Technician",2376,197,0.73,No
394,"Laboratory Technician",2373,198,0.73,Yes
471,"Laboratory Technician",2370,199,0.73,No
1960,"Laboratory Technician",2367,200,0.73,Yes
1333,"Laboratory Technician",2362,201,0.73,Yes
206,"Laboratory Technician",2348,202,0.73,No
54,"Laboratory Technician",2341,203,0.72,No
622,"Laboratory Technician",2340,204,0.72,Yes
2032,"Laboratory Technician",2339,205,0.72,Yes
951,"Laboratory Technician",2332,206,0.72,No
816,"Laboratory Technician",2319,207,0.72,Yes
882,"Laboratory Technician",2314,208,0.71,No
1718,"Laboratory Technician",2305,209,0.71,No
1551,"Laboratory Technician",2296,210,0.71,No
55,"Laboratory Technician",2293,211,0.71,Yes
1772,"Laboratory Technician",2289,212,0.71,No
245,"Laboratory Technician",2288,213,0.71,No
1533,"Laboratory Technician",2272,214,0.70,No
996,"Laboratory Technician",2270,215,0.70,No
63,"Laboratory Technician",2269,216,0.70,No
525,"Laboratory Technician",2258,217,0.70,No
1172,"Laboratory Technician",2258,217,0.70,No
200,"Laboratory Technician",2238,219,0.69,No
332,"Laboratory Technician",2232,220,0.69,No
530,"Laboratory Technician",2218,221,0.69,No
483,"Laboratory Technician",2213,222,0.68,No
1219,"Laboratory Technician",2210,223,0.68,Yes
1102,"Laboratory Technician",2207,224,0.68,No
41,"Laboratory Technician",2206,225,0.68,No
362,"Laboratory Technician",2176,226,0.67,No
1649,"Laboratory Technician",2166,227,0.67,Yes
1286,"Laboratory Technician",2154,228,0.67,No
286,"Laboratory Technician",2153,229,0.67,No
643,"Laboratory Technician",2127,230,0.66,No
454,"Laboratory Technician",2119,231,0.65,Yes
1856,"Laboratory Technician",2105,232,0.65,No
1434,"Laboratory Technician",2099,233,0.65,No
562,"Laboratory Technician",2097,234,0.65,No
591,"Laboratory Technician",2093,235,0.65,No
4,"Laboratory Technician",2090,236,0.65,Yes
238,"Laboratory Technician",2088,237,0.65,No
116,"Laboratory Technician",2075,238,0.64,No
1569,"Laboratory Technician",2074,239,0.64,Yes
1883,"Laboratory Technician",2062,240,0.64,No
132,"Laboratory Technician",2042,241,0.63,No
19,"Laboratory Technician",2028,242,0.63,Yes
1698,"Laboratory Technician",2028,242,0.63,No
1534,"Laboratory Technician",2018,244,0.62,Yes
1659,"Laboratory Technician",2013,245,0.62,No
1994,"Laboratory Technician",2008,246,0.62,No
934,"Laboratory Technician",2008,246,0.62,No
53,"Laboratory Technician",1951,248,0.60,No
1156,"Laboratory Technician",1904,249,0.59,Yes
556,"Laboratory Technician",1702,250,0.53,No
1368,"Laboratory Technician",1611,251,0.50,No
811,"Laboratory Technician",1601,252,0.49,Yes
201,"Laboratory Technician",1483,253,0.46,No
405,"Laboratory Technician",1420,254,0.44,Yes
1079,"Laboratory Technician",1416,255,0.44,Yes
1692,"Laboratory Technician",1393,256,0.43,Yes
704,"Laboratory Technician",1281,257,0.40,No
1974,"Laboratory Technician",1129,258,0.35,No
243,"Laboratory Technician",1102,259,0.34,Yes
259,Manager,19999,1,1.16,No
1191,Manager,19943,2,1.16,No
226,Manager,19926,3,1.16,No
787,Manager,19859,4,1.16,Yes
1282,Manager,19847,5,1.16,No
1038,Manager,19845,6,1.16,Yes
1740,Manager,19833,7,1.15,No
1338,Manager,19717,8,1.15,No
1625,Manager,19658,9,1.14,No
1973,Manager,19636,10,1.14,No
1595,Manager,19613,11,1.14,No
1578,Manager,19586,12,1.14,No
549,Manager,19566,13,1.14,No
323,Manager,19517,14,1.14,No
671,Manager,19513,15,1.14,No
2022,Manager,19431,16,1.13,No
1866,Manager,19392,17,1.13,No
1591,Manager,19331,18,1.13,No
444,Manager,19272,19,1.12,No
319,Manager,19232,20,1.12,No
336,Manager,19202,21,1.12,No
531,Manager,19197,22,1.12,No
1288,Manager,19190,23,1.12,No
734,Manager,19189,24,1.12,No
1336,Manager,19187,25,1.12,No
731,Manager,19141,26,1.11,No
32,Manager,19094,27,1.11,No
329,Manager,19068,28,1.11,No
374,Manager,19045,29,1.11,No
253,Manager,19033,30,1.11,No
38,Manager,18947,31,1.10,No
2031,Manager,18880,32,1.10,No
140,Manager,18844,33,1.10,No
1277,Manager,18824,34,1.10,Yes
1280,Manager,18789,35,1.09,No
1256,Manager,18711,36,1.09,No
1201,Manager,18606,37,1.08,No
809,Manager,18430,38,1.07,No
1029,Manager,18303,39,1.07,No
1267,Manager,18213,40,1.06,No
644,Manager,18200,41,1.06,No
1306,Manager,18061,42,1.05,No
558,Manager,18041,43,1.05,No
905,Manager,17924,44,1.04,No
1938,Manager,17875,45,1.04,No
1334,Manager,17861,46,1.04,No
1215,Manager,17856,47,1.04,No
1109,Manager,17665,48,1.03,No
1045,Manager,17650,49,1.03,No
1602,Manager,17567,50,1.02,No
1124,Manager,17465,51,1.02,No
992,Manager,17444,52,1.02,No
1665,Manager,17426,53,1.01,No
148,Manager,17328,54,1.01,No
199,Manager,17181,55,1.00,No
1900,Manager,17174,56,1.00,No
1307,Manager,17123,57,1.00,No
976,Manager,17099,58,1.00,No
429,Manager,17068,59,0.99,No
1204,Manager,17048,60,0.99,No
569,Manager,17046,61,0.99,No
158,Manager,16959,62,0.99,No
1116,Manager,16885,63,0.98,No
363,Manager,16872,64,0.98,No
776,Manager,16856,65,0.98,No
597,Manager,16835,66,0.98,No
1892,Manager,16823,67,0.98,No
1408,Manager,16799,68,0.98,No
264,Manager,16792,69,0.98,No
1074,Manager,16756,70,0.98,No
820,Manager,16752,71,0.97,No
505,Manager,16659,72,0.97,No
1527,Manager,16606,73,0.97,No
625,Manager,16595,74,0.97,No
546,Manager,16555,75,0.96,No
1550,Manager,16437,76,0.96,No
851,Manager,16307,77,0.95,No
1824,Manager,16291,78,0.95,No
327,Manager,16064,79,0.93,No
1520,Manager,16032,80,0.93,No
410,Manager,16015,81,0.93,No
1676,Manager,15972,82,0.93,No
23,Manager,15427,83,0.90,No
664,Manager,15402,84,0.90,No
1677,Manager,15379,85,0.90,No
1644,Manager,15202,86,0.88,No
981,Manager,14852,87,0.86,No
84,Manager,14756,88,0.86,No
568,Manager,14118,89,0.82,No
1352,Manager,14026,90,0.82,No
582,Manager,13610,91,0.79,Yes
298,Manager,13591,92,0.79,No
1786,Manager,13116,93,0.76,No
473,Manager,12504,94,0.73,No
381,Manager,11996,95,0.70,No
1321,Manager,11916,96,0.69,No
1048,Manager,11904,97,0.69,No
428,Manager,11878,98,0.69,No
376,Manager,11849,99,0.69,Yes
153,Manager,11631,100,0.68,No
613,Manager,11557,101,0.67,No
1516,Manager,11244,102,0.65,No
1005,"Manufacturing Director",13973,1,1.92,No
867,"Manufacturing Director",13826,2,1.90,No
1032,"Manufacturing Director",13726,3,1.88,No
2034,"Manufacturing Director",13570,4,1.86,No
1373,"Manufacturing Director",13402,5,1.84,No
1401,"Manufacturing Director",13247,6,1.82,No
601,"Manufacturing Director",13237,7,1.81,No
1367,"Manufacturing Director",13142,8,1.80,No
1775,"Manufacturing Director",12965,9,1.78,No
1026,"Manufacturing Director",12742,10,1.75,No
1096,"Manufacturing Director",10976,11,1.50,No
899,"Manufacturing Director",10903,12,1.49,No
1043,"Manufacturing Director",10880,13,1.49,No
1007,"Manufacturing Director",10845,14,1.49,No
1126,"Manufacturing Director",10820,15,1.48,No
1013,"Manufacturing Director",10739,16,1.47,No
880,"Manufacturing Director",10685,17,1.46,No
179,"Manufacturing Director",10650,18,1.46,Yes
581,"Manufacturing Director",10648,19,1.46,No
1283,"Manufacturing Director",10512,20,1.44,No
1245,"Manufacturing Director",10502,21,1.44,No
1628,"Manufacturing Director",10435,22,1.43,No
1827,"Manufacturing Director",10333,23,1.42,No
1182,"Manufacturing Director",10274,24,1.41,No
1237,"Manufacturing Director",10252,25,1.41,No
845,"Manufacturing Director",10221,26,1.40,No
1496,"Manufacturing Director",10209,27,1.40,No
1572,"Manufacturing Director",10169,28,1.39,Yes
342,"Manufacturing Director",10048,29,1.38,Yes
1360,"Manufacturing Director",10008,30,1.37,Yes
20,"Manufacturing Director",9980,31,1.37,No
1084,"Manufacturing Director",9957,32,1.36,No
2057,"Manufacturing Director",9936,33,1.36,No
1966,"Manufacturing Director",9679,34,1.33,No
1816,"Manufacturing Director",9667,35,1.33,No
256,"Manufacturing Director",9547,36,1.31,No
12,"Manufacturing Director",9526,37,1.31,No
689,"Manufacturing Director",9434,38,1.29,No
1465,"Manufacturing Director",9380,39,1.29,No
1412,"Manufacturing Director",9362,40,1.28,No
442,"Manufacturing Director",8943,41,1.23,No
1073,"Manufacturing Director",8858,42,1.21,No
699,"Manufacturing Director",8847,43,1.21,No
733,"Manufacturing Director",8793,44,1.21,No
1857,"Manufacturing Director",8578,45,1.18,No
292,"Manufacturing Director",8474,46,1.16,No
1525,"Manufacturing Director",8376,47,1.15,No
464,"Manufacturing Director",8095,48,1.11,No
543,"Manufacturing Director",7969,49,1.09,No
1641,"Manufacturing Director",7945,50,1.09,No
1363,"Manufacturing Director",7898,51,1.08,No
743,"Manufacturing Director",7861,52,1.08,No
1133,"Manufacturing Director",7779,53,1.07,No
1638,"Manufacturing Director",7756,54,1.06,No
1121,"Manufacturing Director",7655,55,1.05,No
623,"Manufacturing Director",7491,56,1.03,No
1459,"Manufacturing Director",7446,57,1.02,Yes
725,"Manufacturing Director",7412,58,1.02,No
605,"Manufacturing Director",7406,59,1.02,No
1228,"Manufacturing Director",7379,60,1.01,No
112,"Manufacturing Director",7260,61,1.00,No
462,"Manufacturing Director",7143,62,0.98,No
1728,"Manufacturing Director",6883,63,0.94,No
833,"Manufacturing Director",6877,64,0.94,No
275,"Manufacturing Director",6804,65,0.93,No
966,"Manufacturing Director",6725,66,0.92,No
170,"Manufacturing Director",6567,67,0.90,No
271,"Manufacturing Director",6553,68,0.90,No
1514,"Manufacturing Director",6549,69,0.90,No
1724,"Manufacturing Director",6516,70,0.89,No
85,"Manufacturing Director",6499,71,0.89,No
